gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
3.461,34,0,0,0,0,0,0,1,0,0,0,560,600,3,0,0,1,81.6500015258789,1
3.45,24,0,1,0,0,0,0,0,1,0,1,610,540,3,NA,1,0,68.2699966430664,1
3.86,15,1,0,0,0,0,0,1,0,0,1,640,620,3,NA,1,0,83.339996337890625,1
3.457,28,1,NA,NA,NA,NA,NA,NA,NA,1,0,740,700,3,1,NA,0,80.05000305175781,1
3.544,44,0,1,0,0,0,0,0,1,0,0,650,630,3,0,0,1,86.63999938964844,1
3.736,20,0,0,0,0,0,0,1,0,0,1,620,590,3,NA,1,0,81.6500015258789,1
3.538,13,1,1,0,0,0,0,0,1,0,0,700,510,3,0,0,1,68.36000061035156,1
3.211,23,0,0,0,0,0,0,1,0,0,0,640,560,3,0,0,1,80,1
3.5,43,0,0,0,0,0,0,1,0,1,0,620,600,3,1,NA,0,73.3499984741211,1
3.092,16,1,0,0,0,0,0,1,0,0,0,600,630,3,0,0,1,68.36000061035156,1
NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,560,520,3,NA,1,0,61.630001068115234,1
2.55,45,1,0,0,0,0,0,1,0,1,0,550,570,3,1,NA,0,56.709999084472656,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,640,550,3,NA,1,0,78.30999755859375,1
2.147,117,0,NA,NA,NA,NA,NA,NA,NA,0,0,490,460,2,0,0,1,0,1
2.987,15,1,0,0,0,0,0,1,0,1,0,630,590,3,1,NA,0,90,1
NA,28,0,0,0,0,0,0,1,0,0,0,500,590,2,0,0,1,0,1
