gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
3.672,76,1,0,0,0,0,0,1,0,1,0,710,600,3,1,NA,0,83.30000305175781,1
2.727,30,0,0,0,0,0,0,1,0,1,0,560,620,3,1,NA,0,51.67900085449219,1
NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,590,590,3,0,0,1,61.679969787597656,1
3.264,36,1,0,0,0,0,0,1,0,1,0,540,500,2,1,NA,0,0,1
1.113,15,0,0,0,0,0,0,1,0,1,0,630,670,3,1,NA,0,76.660003662109375,1
NA,0,1,1,0,0,0,0,0,1,0,0,740,510,3,0,0,1,56.70996856689453,1
3.159,27,1,0,0,0,0,0,1,0,0,0,650,660,3,0,0,1,79.999969482421875,1
3.5,18,0,0,0,0,0,0,1,0,1,0,590,590,2,1,NA,0,0,1
3.229,36,1,0,0,0,0,0,1,0,0,1,710,800,3,NA,1,0,79.9800033569336,1
3.687,65,0,0,0,0,0,0,1,0,1,0,630,570,3,1,NA,0,73.30000305175781,1
NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,710,520,3,0,0,1,73.38999938964844,1
3.703,101,1,0,0,0,0,0,1,0,0,0,NA,NA,2,0,0,1,0,1
3.436,69,1,0,0,0,0,0,1,0,0,0,NA,NA,3,0,0,1,71.64996337890625,1
3.052,54,0,0,0,0,0,0,1,0,0,0,620,640,2,0,0,1,0,1
NA,13,0,1,0,0,0,0,0,1,0,0,720,640,3,0,0,1,79.979949951171875,1
NA,0,1,0,0,0,0,0,1,0,0,0,510,580,3,0,0,1,71.62996673583984,1
2.876,62,0,1,0,0,0,0,0,1,0,1,650,450,3,NA,1,0,79.9800033569336,1
3.625,94,1,0,0,0,0,0,1,0,0,1,760,670,2,NA,1,0,0,1
3.76,23,1,0,0,0,0,0,1,0,0,0,670,550,2,0,0,1,0,1
3.86,18,0,NA,NA,NA,NA,NA,NA,NA,0,0,550,580,3,0,0,1,86.63999938964844,1
3.258,29,1,0,0,0,0,0,1,0,0,0,640,510,3,0,0,1,83.38999938964844,1
3.7,13,0,0,0,0,0,0,1,0,1,0,610,560,2,1,NA,0,0,1
NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,NA,1,0,0,1
2.779,57,0,0,0,0,0,0,1,0,1,0,580,590,3,1,NA,0,64.97899627685547,1
NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,0,690,680,3,1,NA,0,93.38999938964844,1
3.07,44,0,NA,NA,NA,NA,NA,NA,NA,0,0,640,490,3,0,0,1,70.029998779296875,1
3.736,14,1,0,0,0,0,0,1,0,0,1,630,600,3,NA,1,0,84.970001220703125,1
1.35,10,1,1,0,0,0,0,0,1,0,0,640,620,2,0,0,1,0,1
3.8,26,0,0,0,0,0,0,1,0,0,0,630,690,3,0,0,1,89.9800033569336,1
2.603,38,1,NA,NA,NA,NA,NA,NA,NA,1,0,570,560,3,1,NA,0,56.650001525878906,1
1.765,14,0,1,0,0,0,0,0,1,0,0,NA,NA,3,0,0,1,78.3499526977539,1
3.156,44,0,0,0,0,0,0,1,0,0,0,620,580,3,0,0,1,74.90995788574219,1
3.498,42,1,0,0,0,0,0,1,0,1,0,640,550,3,1,NA,0,78.30999755859375,1
3.232,25,0,0,0,1,0,0,0,1,1,0,600,530,3,1,NA,0,81.69999694824219,1
3.436,17,0,0,1,0,0,0,0,1,0,0,560,620,3,0,0,1,66.63999938964844,1
2.231,47,1,0,0,0,0,0,1,0,0,1,420,440,2,NA,1,0,0,1
2.679,14,1,0,0,0,0,0,1,0,1,0,650,620,3,1,NA,0,86.63999938964844,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2,1,NA,0,0,1
3.931,23,1,0,0,0,0,0,1,0,0,0,640,690,3,0,0,1,79.9800033569336,1
3.12,50,0,NA,NA,NA,NA,NA,NA,NA,1,0,660,610,2,1,NA,0,0,1
2.688,19,1,0,0,0,0,0,1,0,0,1,570,680,3,NA,1,0,81.6500015258789,1
4,17,1,0,0,0,0,0,1,0,0,0,670,640,3,0,0,1,84.970001220703125,1
1.712,14,0,1,0,0,0,0,0,1,1,0,NA,NA,2,1,NA,0,0,1
3.214,14,0,1,0,0,0,0,0,1,1,0,760,530,3,1,NA,0,76.70999908447266,1
3.363,23,0,1,0,0,0,0,0,1,1,0,570,720,3,1,NA,0,60.08000183105469,1
1.877,64,1,0,0,0,0,0,1,0,0,0,610,590,2,0,0,1,0,1
3.974,41,0,NA,NA,NA,NA,NA,NA,NA,0,1,670,620,3,NA,1,0,91.6500015258789,1
3.567,30,1,0,0,0,0,0,1,0,1,0,600,550,3,1,NA,0,75.05999755859375,1
3.78,18,0,1,0,0,0,0,0,1,0,0,540,600,3,0,0,1,80.05000305175781,1
NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,NA,1,0,0,1
3.767,22,1,0,0,0,0,0,1,0,1,0,720,640,3,1,NA,0,81.66999816894531,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,485,460,2,1,NA,0,0,1
3.403,33,1,0,0,0,0,0,1,0,1,0,560,650,2,1,NA,0,81.62999725341797,1
2.876,42,1,0,0,0,0,0,1,0,1,0,640,440,2,1,NA,0,0,1
3.67,30,0,NA,NA,NA,NA,NA,NA,NA,1,0,560,520,2,1,NA,0,0,1
NA,10,1,0,0,0,0,0,1,0,0,0,640,590,3,0,0,1,86.659942626953125,1
2.45,61,1,0,0,0,0,1,0,1,1,0,650,600,2,1,NA,0,83.3199691772461,1
